Id,Time[ns],0:I²C: Address/Data
312,2642291926.00,Data write: EB
313,2642371928.00,ACK
314,2642384576.00,Data write: 00
315,2642464578.00,ACK
316,2642477176.00,Data write: 00
317,2642557176.00,ACK
318,2642569824.00,Data write: 00
319,2642649824.00,ACK
320,2642662422.00,Data write: 69
321,2642742424.00,ACK
322,2642755020.00,Data write: 06
323,2642835022.00,ACK
324,2642847620.00,Data write: 00
325,2642927620.00,ACK
326,2642940268.00,Data write: 00
327,2643020270.00,ACK
328,2643032866.00,Data write: 00
329,2643112868.00,ACK
330,2643125516.00,Data write: 00
331,2643205516.00,ACK
332,2643218114.00,Data write: 00
333,2643298116.00,ACK
334,2643310762.00,Data write: 00
335,2643390764.00,ACK
336,2643403362.00,Data write: 00
337,2643483362.00,ACK
338,2643496010.00,Data write: 00
339,2643576012.00,ACK
340,2643588610.00,Data write: 00
341,2643668610.00,ACK
342,2643681258.00,Data write: 00
343,2643761258.00,ACK
344,2643773856.00,Data write: 00
345,2643853858.00,ACK
346,2643866504.00,Data write: 00
347,2643946506.00,ACK
348,2643959104.00,Data write: 00
349,2644039104.00,ACK
350,2644051752.00,Data write: 00
351,2644131754.00,ACK
352,2644144350.00,Data write: 00
353,2644224352.00,ACK
354,2644237000.00,Data write: 00
355,2644317000.00,ACK
356,2644329598.00,Data write: 00
357,2644409600.00,ACK
358,2644422246.00,Data write: 00
359,2644502248.00,ACK
360,2644514848.00,Data write: 00
361,2644594846.00,ACK
362,2644607494.00,Data write: 00
363,2644687496.00,ACK
364,2644700094.00,Data write: 00
365,2644780094.00,ACK
366,2644792692.00,Data write: 00
367,2644872692.00,ACK
368,2644885290.00,Data write: 00
369,2644965292.00,ACK
370,2644977938.00,Data write: 00
371,2645057940.00,ACK
372,2645070538.00,Data write: 00
373,2645150538.00,ACK
374,2645163186.00,Data write: 00
375,2645243188.00,ACK
376,2645255784.00,Data write: 00
377,2645335786.00,ACK
378,2645348434.00,Data write: 00
379,2645428434.00,ACK
380,2645441032.00,Data write: 00
381,2645521034.00,ACK
382,2645533682.00,Data write: 00
383,2645613682.00,ACK
