Id,Time[ns],0:I²C: Address/Data
464,1540419652.00,ACK
465,1540424720.00,Data write: 00
466,1540447222.00,ACK
467,1540452220.00,Data write: 00
468,1540474732.00,ACK
469,1540479794.00,Data write: 13
470,1540502302.00,ACK
471,1540507318.00,Data write: 0A
472,1540529806.00,ACK
473,1540534844.00,Data write: 00
474,1540557340.00,ACK
475,1540562344.00,Data write: 00
476,1540584850.00,ACK
477,1540589918.00,Data write: 00
478,1540612422.00,ACK
479,1540617416.00,Data write: 00
480,1540639932.00,ACK
481,1540644992.00,Data write: 00
482,1540667520.00,ACK
483,1540672516.00,Data write: 00
484,1540695012.00,ACK
485,1540700042.00,Data write: 00
486,1540722540.00,ACK
487,1540727540.00,Data write: 00
488,1540750048.00,ACK
489,1540755116.00,Data write: 00
490,1540777598.00,ACK
491,1540782614.00,Data write: 00
492,1540805148.00,ACK
493,1540810214.00,Data write: 00
494,1540832700.00,ACK
495,1540837714.00,Data write: 00
496,1540860206.00,ACK
497,1540865240.00,Data write: 00
498,1540887734.00,ACK
499,1540892738.00,Data write: 00
500,1540915248.00,ACK
501,1540920314.00,Data write: 41
502,1540942820.00,ACK
503,1540947838.00,Data write: 01
504,1540970352.00,ACK
505,1540975412.00,Data write: 00
506,1540997904.00,ACK
507,1541002912.00,Data write: 00
508,1541025414.00,ACK
509,1541030436.00,Data write: 49
510,1541052926.00,ACK
511,1541057936.00,Data write: 01
512,1541080434.00,ACK
513,1541085486.00,Data write: 00
514,1541107988.00,ACK
515,1541112986.00,Data write: 00
516,1541135494.00,ACK
517,1541140534.00,Data write: 00
518,1541163048.00,ACK
519,1541168034.00,Data write: 00
520,1541190520.00,ACK
521,1541195584.00,Data write: 00
522,1541218070.00,ACK
523,1541223084.00,Data write: 00
524,1541245580.00,ACK
525,1541250634.00,Data write: 00
526,1541273150.00,ACK
527,1541278132.00,Data write: 00
528,1541300658.00,ACK
529,1541305708.00,Data write: 00
530,1541328186.00,ACK
531,1541333182.00,Data write: 00
532,1541355694.00,ACK
533,1541360732.00,Data write: 61
534,1541383224.00,ACK
535,1541388232.00,Data write: 06
536,1541410738.00,ACK
537,1541415806.00,Data write: 00
538,1541438308.00,ACK
539,1541443306.00,Data write: 00
540,1541465818.00,ACK
541,1541470880.00,Data write: 00
542,1541493414.00,ACK
543,1541498430.00,Data write: 00
544,1541520922.00,ACK
545,1541525980.00,Data write: 00
546,1541548474.00,ACK
547,1541553478.00,Data write: 00
548,1541575984.00,ACK
549,1541581028.00,Data write: 00
550,1541603516.00,ACK
551,1541608528.00,Data write: 00
552,1541631030.00,ACK
553,1541636078.00,Data write: 00
554,1541658560.00,ACK
555,1541663578.00,Data write: 00
556,1541686090.00,ACK
557,1541691128.00,Data write: 00
558,1541713636.00,ACK
559,1541718626.00,Data write: 00
560,1541741144.00,ACK
561,1541746202.00,Data write: 00
562,1541768732.00,ACK
563,1541773726.00,Data write: 00
564,1541796216.00,ACK
565,1541801272.00,Data write: E1
566,1541823764.00,ACK
567,1541828776.00,Data write: 06
568,1541851274.00,ACK
569,1541856326.00,Data write: 00
570,1541878802.00,ACK
571,1541883800.00,Data write: 00
572,1541906308.00,ACK
573,1541911524.00,Data write: 09
574,1541934022.00,ACK
575,1541939024.00,Data write: 0A
576,1541961530.00,ACK
577,1541966624.00,Data write: 00
578,1541989140.00,ACK
579,1541994222.00,Data write: 00
580,1542016728.00,ACK
581,1542021772.00,Data write: 2D
582,1542044256.00,ACK
583,1542049322.00,Data write: 01
584,1542071848.00,ACK
585,1542076872.00,Data write: 00
586,1542099356.00,ACK
587,1542104422.00,Data write: 00
588,1542126906.00,ACK
589,1542131920.00,Data write: 00
590,1542154432.00,ACK
591,1542159470.00,Data write: 00
592,1542181962.00,ACK
593,1542186994.00,Data write: 00
594,1542209490.00,ACK
595,1542214520.00,Data write: 00
596,1542237002.00,ACK
597,1542242020.00,Data write: 27
598,1542264508.00,ACK
599,1542269518.00,Data write: 0A
600,1542291998.00,ACK
601,1542297018.00,Data write: 00
602,1542319504.00,ACK
603,1542324518.00,Data write: 00
604,1542347014.00,ACK
605,1542352018.00,Data write: 2F
606,1542374520.00,ACK
607,1542379518.00,Data write: 0A
608,1542402030.00,ACK
609,1542407066.00,Data write: 00
610,1542429598.00,ACK
611,1542434616.00,Data write: 00
612,1542457126.00,ACK
613,1542462164.00,Data write: FB
614,1542484674.00,ACK
615,1542489716.00,Data write: 06
616,1542512200.00,ACK
617,1542517216.00,Data write: 00
618,1542539726.00,ACK
619,1542544764.00,Data write: 00
620,1542567276.00,ACK
621,1542572314.00,Data write: 00
622,1542594802.00,ACK
623,1542599814.00,Data write: 00
624,1542622310.00,ACK
625,1542627314.00,Data write: 00
626,1542649800.00,ACK
627,1542654814.00,Data write: 00
628,1542677330.00,ACK
629,1542682362.00,Data write: 29
630,1542704880.00,ACK
631,1542709912.00,Data write: 02
632,1542732410.00,ACK
633,1542737412.00,Data write: 00
634,1542759916.00,ACK
635,1542764912.00,Data write: 00
636,1542787404.00,ACK
637,1542792410.00,Data write: 51
638,1542814912.00,ACK
639,1542819910.00,Data write: 01
640,1542842416.00,ACK
641,1542847410.00,Data write: 00
642,1542869924.00,ACK
643,1542874960.00,Data write: 00
644,1542897474.00,ACK
645,1542902510.00,Data write: 03
646,1542925000.00,ACK
647,1542930084.00,Data write: 48
648,1542952594.00,ACK
649,1542957706.00,Data write: 85
650,1542980186.00,ACK
651,1542985284.00,Data write: 46
652,1543007818.00,ACK
653,1543012884.00,Data write: 00
654,1543035362.00,ACK
655,1543040406.00,Data write: F0
656,1543062888.00,ACK
657,1543067908.00,Data write: 20
658,1543090416.00,ACK
659,1543095454.00,Data write: F8
660,1543117966.00,ACK
661,1543123008.00,Data write: 00
662,1543145492.00,ACK
663,1543150506.00,Data write: 48
664,1543173020.00,ACK
665,1543178056.00,Data write: 00
666,1543200546.00,ACK
667,1543205606.00,Data write: 47
668,1543228116.00,ACK
669,1543233156.00,Data write: 3B
670,1543255640.00,ACK
671,1543260704.00,Data write: 0A
672,1543283188.00,ACK
673,1543288204.00,Data write: 00
674,1543310734.00,ACK
675,1543315754.00,Data write: 00
676,1543338244.00,ACK
677,1543343278.00,Data write: 28
678,1543365770.00,ACK
679,1543370802.00,Data write: 06
680,1543393320.00,ACK
681,1543398352.00,Data write: 00
682,1543420846.00,ACK
683,1543425902.00,Data write: 20
684,1543448438.00,ACK
685,1543453476.00,Data write: 08
686,1543475966.00,ACK
687,1543481002.00,Data write: 48
688,1543503496.00,ACK
689,1543508502.00,Data write: 09
690,1543531004.00,ACK
691,1543536000.00,Data write: 4A
692,1543558512.00,ACK
693,1543563550.00,Data write: 00
694,1543586062.00,ACK
695,1543591100.00,Data write: 21
696,1543613592.00,ACK
697,1543618600.00,Data write: 00
698,1543641102.00,ACK
699,1543646096.00,Data write: A1
700,1543668612.00,ACK
